TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-08,12,TUI1101,0.00
2023-06-08,47,TWC2201,3.62
2023-06-08,28,TWI2201,5.78
2023-06-08,15,WVY0111,67.09
2023-06-08,2,ASY0111,1.10
2023-06-08,29,BPD1101,2.96
2023-06-08,39,BPT1101,114.98
2023-06-08,37,COL0111,186.54
2023-06-08,31,CUL0331,0.24
2023-06-08,24,CYD2201,4.09
2023-06-08,33,DOB0661,6.25
2023-06-08,14,EDG0331,3.40
2023-06-08,12,FHL0331,1.42
2023-06-08,8,GFD0331,0.46
2023-06-08,24,HAM0331,5.22
2023-06-08,1,HAM0551,4.70
2023-06-08,36,HEN0331,1166.07
2023-06-08,5,HLY0331,0.02
2023-06-08,35,HOR0331,41.23
2023-06-08,40,HTI0331,148.33
2023-06-08,26,HWA1101,9.37
2023-06-08,42,ISL0661,29.42
2023-06-08,21,KIN0113,64.28
2023-06-08,28,KPO1101,10.06
2023-06-08,11,LFD1102,4.12
2023-06-08,20,LTN2201,81.54
2023-06-08,23,MAT1101,9.96
2023-06-08,22,MNG0331,26.47
2023-06-08,44,PAK0331,19.85
2023-06-08,12,PEN0221,1.66
2023-06-08,15,PEN0221,80.70
2023-06-08,5,PPI2201,0.02
2023-06-08,45,PRM0331,5.89
2023-06-08,48,SDN0331,1.01
2023-06-08,22,SFD2201,24.07
2023-06-08,29,STK0661,3.31
2023-06-08,16,TKB2201,78.72
2023-06-08,29,TKR0331,6.16
2023-06-08,9,WHI0111,0.78
2023-06-08,38,WHI0111,158.68
2023-06-08,7,WHU0331,0.44
2023-06-08,21,WIL0331,60.52
2023-06-08,24,WIL0331,4.61
2023-06-08,28,WPA2201,9.58
2023-06-08,9,WTK2201,0.72
2023-06-08,42,WVY0111,41.05
2023-06-08,23,WWD1102,9.72
2023-06-08,3,ALB0331,1.35
2023-06-08,39,ALB0331,146.22
2023-06-08,42,ARG1101,31.18
2023-06-08,19,ASB0661,39.51
2023-06-08,42,BRY0661,29.33
2023-06-08,10,CBG0111,1.91
2023-06-08,46,CPK0331,5.22
2023-06-08,7,CST0331,0.40
2023-06-08,34,HKK0661,12.20
2023-06-08,20,HOB1101,91.57
2023-06-08,36,LFD1102,1090.65
2023-06-08,28,LTN0331,9.10
2023-06-08,46,MGM0331,5.33
2023-06-08,26,MNG0331,10.54
2023-06-08,2,MNG1101,2.58
2023-06-08,2,MNI0111,2.42
2023-06-08,14,OHC2201,2.80
2023-06-08,38,OWH0111,160.56
2023-06-08,23,ROT0111,10.31
2023-06-08,12,ROT1101,1.57
2023-06-08,31,SBK0661,0.24
2023-06-08,45,TGA0331,6.43
2023-06-08,46,TKB2201,3.04
2023-06-08,20,TKU2201,83.08
2023-06-08,28,TMI0331,9.85
2023-06-08,13,TNG0551,1.50
2023-06-08,24,WHU0331,5.52
2023-06-08,36,WWD1103,1010.58
2023-06-08,8,BAL0331,0.44
2023-06-08,23,BOB0331,11.03
2023-06-08,47,BPE0331,3.64
2023-06-08,25,CBG0111,4.63
2023-06-08,13,CML0331,1.32
2023-06-08,41,EDN0331,72.57
2023-06-08,31,HEN0331,1.57
2023-06-08,26,HOR0661,6.58
2023-06-08,38,HTI0331,163.02
2023-06-08,44,HTI0331,19.27
2023-06-08,48,INV2202,1.00
2023-06-08,16,JRD1101,83.55
2023-06-08,29,KAW1101,6.59
2023-06-08,28,KIK2201,3.26
2023-06-08,17,KMO0331,117.84
2023-06-08,37,KOE1101,237.53
2023-06-08,25,MAN2201,2.00
2023-06-08,31,MCH0111,0.25
2023-06-08,23,MLG0111,9.76
2023-06-08,23,NSY0331,8.90
2023-06-08,19,OHC2201,36.89
2023-06-08,26,OKI2201,9.61
2023-06-08,48,ONG0331,4.76
2023-06-08,29,ORO1101,3.27
2023-06-08,45,OTA0221,6.84
2023-06-08,20,PEN0251,91.40
2023-06-08,38,RFN1102,154.16
2023-06-08,15,THI2201,73.11
2023-06-08,3,TNG0551,1.24
2023-06-08,5,TUI1101,0.02
2023-06-08,36,WRD0331,1163.18
2023-06-08,21,WTK0331,56.13
2023-06-08,21,WTU0331,64.44
2023-06-08,44,BEN2202,11.55
2023-06-08,2,BPE2201,2.34
2023-06-08,17,BRB0331,126.90
2023-06-08,40,BRB0331,159.48
2023-06-08,47,CBG0111,4.06
2023-06-08,33,HOB1101,8.75
2023-06-08,17,HOR0661,112.38
2023-06-08,37,HWA0331,191.24
2023-06-08,26,JRD1101,9.58
2023-06-08,31,JRD1101,1.42
2023-06-08,31,KBY0662,0.24
2023-06-08,32,KMO0331,2.14
2023-06-08,46,KPO1101,5.94
2023-06-08,10,MTN0331,1.78
2023-06-08,37,OKN0111,202.78
2023-06-08,3,PAO1101,1.36
2023-06-08,21,PEN0251,67.54
2023-06-08,10,ROS0221,1.97
2023-06-08,47,RPO2201,3.71
2023-06-08,38,TGA0331,162.27
2023-06-08,4,THI2201,0.68
2023-06-08,14,TKA0331,2.71
2023-06-08,13,TKU2201,1.53
2023-06-08,3,WDV0111,1.22
2023-06-08,8,WDV0111,0.47
2023-06-08,5,ALB0331,0.02
2023-06-08,22,APS0111,24.28
2023-06-08,15,ARI1101,73.75
2023-06-08,10,CPK0111,1.76
2023-06-08,38,CPK0111,149.39
2023-06-08,2,CPK0331,2.32
2023-06-08,2,CST0331,2.41
2023-06-08,42,CYD0331,26.05
2023-06-08,16,HAM0331,93.03
2023-06-08,5,HAY0111,0.02
2023-06-08,6,HEP0331,0.25
2023-06-08,39,HEP0331,147.39
2023-06-08,19,HOR0661,41.61
2023-06-08,34,HOR0661,12.24
2023-06-08,17,HWA0331,106.71
2023-06-08,28,JRD1101,9.46
2023-06-08,11,KAW0112,4.04
2023-06-08,15,MAN2201,29.98
2023-06-08,19,MDN2201,46.07
2023-06-08,5,MGM0331,0.02
2023-06-08,46,MHO0331,5.47
2023-06-08,21,MTO0331,72.72
2023-06-08,26,SFD0331,9.52
2023-06-08,48,SFD2201,4.49
2023-06-08,39,STK0661,131.60
2023-06-08,32,TWC2201,1.98
2023-06-08,13,TWI2201,1.33
2023-06-08,45,WGN0331,6.11
2023-06-08,32,ALB1101,2.27
2023-06-08,4,BPE2201,0.65
2023-06-08,23,BPE2201,9.83
2023-06-08,2,DVK0111,2.39
2023-06-08,25,HAY0331,4.07
2023-06-08,32,HEN0331,2.28
2023-06-08,7,HWA0332,0.40
2023-06-08,29,HWB0331,2.15
2023-06-08,35,INV0331,36.87
2023-06-08,10,INV2201,0.99
2023-06-08,29,INV2201,5.70
2023-06-08,35,ISL2201,41.32
2023-06-08,43,KAW0112,23.07
2023-06-08,31,KAW2201,1.44
2023-06-08,15,KBY0661,72.93
2023-06-08,4,KIK0111,0.67
2023-06-08,8,KPU0661,0.52
2023-06-08,11,KPU0661,4.49
2023-06-08,16,KWA0111,84.65
2023-06-08,27,KWA0111,12.09
2023-06-08,46,MCH0111,3.32
2023-06-08,15,OAM0331,69.65
2023-06-08,33,OHB2201,5.62
2023-06-08,7,OTI0111,0.40
2023-06-08,18,OWH0111,30.22
2023-06-08,8,PEN0251,0.51
2023-06-08,34,PEN0331,14.34
2023-06-08,16,PEN1101,95.98
2023-06-08,13,WIR0331,1.71
2023-06-08,33,WPW0331,7.94
2023-06-08,14,ABY0111,2.80
2023-06-08,12,ARG1101,1.13
2023-06-08,32,AVI2201,0.60
2023-06-08,38,BEN2202,133.58
2023-06-08,27,BPD1101,5.24
2023-06-08,18,BWK1101,17.63
2023-06-08,42,CUL0331,29.94
2023-06-08,41,EDG0331,96.80
2023-06-08,22,GLN0332,26.24
2023-06-08,23,HEN0331,11.10
2023-06-08,45,HLY2201,6.71
2023-06-08,41,KAW1101,95.30
2023-06-08,5,KUM0661,0.02
2023-06-08,42,MAT1101,41.33
2023-06-08,5,MDN1101,0.02
2023-06-08,43,MLG0111,21.52
2023-06-08,25,MPE1101,4.88
2023-06-08,34,MTM0331,13.70
2023-06-08,40,NPK0331,143.80
2023-06-08,5,PAO1101,0.02
2023-06-08,27,PEN0251,14.14
2023-06-08,37,RFN1101,205.08
2023-06-08,25,RFN1102,4.25
2023-06-08,37,ROS1101,222.82
2023-06-08,48,SBK0661,1.11
2023-06-08,22,STU0111,23.04
2023-06-08,18,TIM0111,27.02
2023-06-08,3,TWC2201,1.21
2023-06-08,36,TWC2201,1017.00
2023-06-08,33,TWH0331,8.57
2023-06-08,23,WKM2201,10.25
2023-06-08,37,WPW0331,206.94
2023-06-08,17,WTK2201,100.00
2023-06-08,43,ARI1102,23.53
2023-06-08,23,ASY0111,10.18
2023-06-08,26,BPT1101,6.15
2023-06-08,9,CLH0111,0.77
2023-06-08,25,COL0111,4.05
2023-06-08,29,EDG0331,6.67
2023-06-08,4,HAY0331,0.64
2023-06-08,16,HEN0331,96.81
2023-06-08,24,HEN2201,5.35
2023-06-08,25,HOR0661,4.09
2023-06-08,41,KAW0111,95.20
2023-06-08,20,KPU0661,95.64
2023-06-08,6,MAT1101,0.23
2023-06-08,3,MCH0111,1.10
2023-06-08,14,MGM0331,3.20
2023-06-08,42,OAM0331,28.28
2023-06-08,12,OHA2201,1.00
2023-06-08,43,PEN0221,25.49
2023-06-08,3,ROT0111,1.30
2023-06-08,44,SBK0661,13.03
2023-06-08,19,SFD0331,40.13
2023-06-08,29,SFD0331,6.50
2023-06-08,36,STK2201,1070.24
2023-06-08,16,TMI0331,93.76
2023-06-08,38,WHI2201,158.61
2023-06-08,43,WKO0331,26.43
2023-06-08,33,WRD0331,8.77
2023-06-08,36,WWD1102,1010.58
2023-06-08,37,ALB0331,221.07
2023-06-08,4,ASB0661,0.64
2023-06-08,18,ATI2201,29.05
2023-06-08,42,ATU1101,30.90
2023-06-08,25,BOB1101,4.71
2023-06-08,14,BPE0331,3.15
2023-06-08,12,BRY0661,1.07
2023-06-08,1,CPK0111,4.27
2023-06-08,47,EDN0331,3.02
2023-06-08,48,HAM0331,4.84
2023-06-08,32,HAM2201,2.20
2023-06-08,20,HTI1101,87.15
2023-06-08,25,HUI0331,4.36
2023-06-08,1,HWB2201,1.71
2023-06-08,18,KMO0331,30.06
2023-06-08,21,KWA0111,60.82
2023-06-08,12,LTN0331,1.47
2023-06-08,37,LTN0331,193.69
2023-06-08,29,MPE1101,7.44
2023-06-08,4,MST0331,0.65
2023-06-08,18,MTR0331,28.64
2023-06-08,33,OHC2201,5.62
2023-06-08,17,OPK0331,109.57
2023-06-08,29,OPK0331,6.53
2023-06-08,2,OTA2202,0.00
2023-06-08,1,PEN1101,4.81
2023-06-08,4,ROX2201,0.61
2023-06-08,22,STK0331,25.25
2023-06-08,27,TMN0551,13.28
2023-06-08,25,TWZ0331,3.72
2023-06-08,31,WAI0501,1.46
2023-06-08,17,WHU0331,126.56
2023-06-08,28,WIR0331,10.49
2023-06-08,17,BOB1101,122.52
2023-06-08,19,CPK0331,39.97
2023-06-08,13,CYD2201,1.31
2023-06-08,7,DVK0111,0.39
2023-06-08,19,GFD0331,39.82
2023-06-08,27,HWA0332,12.72
2023-06-08,27,JRD1101,12.97
